schema,table_name
default,agg_contribution_margin
default,agg_source_market_cost_allocation
default,stg_contribution_margin_booking_base
default,stg_contribution_margin_without_ad_spend
dwh,dim_booking_session_mapping
dwh,fact_attribution_visitor_history
dwh,fact_session
dwh,fact_session_adp
dwh,fact_session_search
dwh,fact_touchpoint
events,fact_session
marketplace_reports,agg_discovery_session
marketplace_reports,agg_session_properties
marketplace_reports,agg_session_traffic_mix_daily
marketplace_reports,count_sessions_60_days
marketplace_reports,fact_booking_trip
marketplace_reports,sessions_activity_interactions
marketplace_reports,sessions_booking_interactions
marketplace_reports,sessions_discovery
marketplace_reports,sessions_search_interactions
public,dim_catalog_tour_location
reports,agg_bookings_drill_down
reports,agg_customers_drill_down
reports,agg_marketing_drill_down
reports,agg_metrics_contribution_margin
reports,agg_metrics_contribution_margin_drill_down
reports,agg_metrics_drill_down
reports,agg_metrics_drill_down_3_years
reports,agg_metrics_drill_down_3_years_change_monitoring
reports,agg_metrics_drill_down_3_years_snapshot
reports,agg_metrics_events
reports,agg_metrics_global
reports,agg_metrics_global_extended
reports,agg_metrics_global_extended_change_monitoring
reports,agg_metrics_global_extended_snapshot
reports,agg_metrics_marketing
reports,agg_metrics_product
reports,agg_metrics_product_dimensions
reports,agg_metrics_product_platform
reports,agg_metrics_sales
reports,agg_metrics_sales_3_years
reports,agg_metrics_trip_customers
reports,budget_abacus
reports,budget_drilldown_abacus
reports,budget_extended_abacus
reports,dim_area_location_nr_order
reports,forecast_abacus
reports,row_counter
